"ticker","company_name","report_period","available_at","revenue","gross_margin","parent_net_profit","adjusted_parent_net_profit","nonrecurring_profit","cfo","cash_received_from_sales","accounts_receivable","contract_assets","inventory","contract_liabilities","capex","construction_in_progress","rd_expense","finance_expense","disclosed_theme_label","disclosed_theme_revenue","disclosed_theme_revenue_share","disclosed_theme_gross_margin","domestic_revenue","overseas_revenue","us_revenue","north_america_revenue","price_date","close","market_cap","pe_ttm","ps_ttm","pb","return_20d","return_60d","return_120d","return_250d","excess_return_vs_csi300_20d","excess_return_vs_csi300_60d","excess_return_vs_csi300_120d","excess_return_vs_csi300_250d","valuation_window","valuation_valid_samples","valuation_pe_valid_samples","valuation_ps_valid_samples","valuation_pb_valid_samples","pe_percentile","ps_percentile","pb_percentile","revenue_yoy","adjusted_parent_net_profit_yoy","cfo_to_parent_net_profit","accounts_receivable_yoy","inventory_yoy","accounts_receivable_yoy_minus_revenue_yoy","inventory_yoy_minus_revenue_yoy","nonrecurring_profit_to_parent_net_profit","gross_margin_yoy_change","capex_yoy","debt_to_assets","theme_scope","data_status","missing_fields","source_paths","note_cn"
"688676","金盘科技","2025-12-31","2026-08-21T21:36:29.501924+08:00",7294986636.41,0.25853000000000004,659538772.4,609581908.26,49956864.139999986,600972620.86,6556255385.11,2367839670.99,451570461.25,2589684814.62,522390232.74,387152938.78,279221791.52,355715161.87,59223296.88,"输配电设备",6273265672.27,0.8599420375850328,0.28165474864874385,,,,,"2026-08-31",66.63,30635513728,43.9379,3.9805,6.0043,0.012921860747947544,-0.25900800711743777,-0.33277637186333664,0.22955940853766243,-0.0051069504051963754,-0.219183035147279,-0.33486307832918427,0.13444301806683012,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.5775100401606426,0.7389558232931727,0.689156626506024,0.05711280274294794,0.10603695182332196,0.9112013516250406,-0.1151745844251657,0.22191489938570563,-0.17228738716811365,0.1648020966427577,0.07574515135510779,0.01537700000000003,-0.10989764090866994,0.578641,"wide","partial","domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2025-12-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2025-12-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2025-12-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2025-12-31/data.parquet;local_warehouse/facts/main_business/report_period=2025-12-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","输配电设备为宽口径，不等同AI数据中心收入；本地未单列美国或北美收入"
"688676","金盘科技","2026-03-31","2026-08-21T21:36:30.677179+08:00",1522783694.39,0.257407,112425599.41,100006106.09,12419493.319999993,-166945139.11,1541954806.65,2332228899.67,425296906.45,2937567826.16,636448952.56,81164798.76,261815216.36,66354501.4,39580378.56,,,,,,,,,"2026-08-31",66.63,30635513728,43.9379,3.9805,6.0043,0.012921860747947544,-0.25900800711743777,-0.33277637186333664,0.22955940853766243,-0.0051069504051963754,-0.219183035147279,-0.33486307832918427,0.13444301806683012,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.5775100401606426,0.7389558232931727,0.689156626506024,0.13413878164325976,0.013452091612247585,-1.4849388394290441,-0.10491571709676162,0.3133341453382741,-0.23905449874002138,0.17919536369501432,0.11046855329370214,0.008072999999999997,-0.15599115507650352,0.578164,"unknown","partial","disclosed_theme_revenue;disclosed_theme_revenue_share;disclosed_theme_gross_margin;domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-03-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-03-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-03-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-03-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","本地同期间主营与地区分项无记录；本地无同期间主题收入分项；本地未单列美国或北美收入"
"688676","金盘科技","2026-06-30","2026-08-22T21:35:10.684372+08:00",3555743162.95,0.27408428028346427,302666839.27,,,-23762688.51,3400363233.85,2564416683.56,407076802.51,3239267644.84,712053949.91,129114829.21,247423982.11,159424018.66,91756416.71,"电气设备系列产品",3203945202.56,0.9010620440599728,0.2929737728722661,,,,,"2026-08-31",66.63,30635513728,43.9379,3.9805,6.0043,0.012921860747947544,-0.25900800711743777,-0.33277637186333664,0.22955940853766243,-0.0051069504051963754,-0.219183035147279,-0.33486307832918427,0.13444301806683012,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.5775100401606426,0.7389558232931727,0.689156626506024,0.1272871563995157,,-0.07851104061255294,-0.03071139606035278,0.28547260609072245,-0.1579985524598685,0.15818544969120674,,0.01533728028346426,-0.04685784845111274,,"wide","partial","adjusted_parent_net_profit;domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-06-30/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-06-30/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-06-30/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-06-30/data.parquet;local_warehouse/facts/main_business/report_period=2026-06-30/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","电气设备系列产品为宽口径，不等同AI数据中心收入；本地未单列美国或北美收入"
"002364","中恒电气","2025-12-31","2026-04-22T00:00:00+08:00",2137227829.77,0.24842199999999998,126374581.15,115324081.29,11050499.86,243302503.31,2363747204.23,1122936924.49,11801113.18,877521167.85,327195221.18,27412445.12,1732249.2,171194945.84,-10969885.4,"数据中心电源",775760637.6,0.362975171291628,0.207086024211033,2049673684.34,87554145.43,,,"2026-08-31",38.57,21736698193,162.3598,8.6651,8.7836,0.1294289897510983,-0.2702337449256593,0.1002597723857157,0.5475019305641304,0.11140017859795437,-0.23040877295550055,0.09817306591986807,0.4523855400932981,"2021-07-14/2026-08-31","PE=1005;PS=1245;PB=1245",1005,1245,1245,0.817910447761194,0.9124497991967871,0.9349397590361446,0.08935245794017965,0.3872934669524881,1.9252487414475596,0.0846051836659607,0.260027476162324,-0.004747274274218949,0.17067501822214437,0.08744242520482529,-0.01324000000000003,1.1432150540933943,0.40825,"theme","partial","us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2025-12-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2025-12-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2025-12-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2025-12-31/data.parquet;local_warehouse/facts/main_business/report_period=2025-12-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","数据中心电源为正式披露口径，但不自动等同AI数据中心；本地未单列美国或北美收入"
"002364","中恒电气","2026-03-31","2026-08-27T21:42:15.821344+08:00",418396025.6,0.256678,24935658.45,21968894.7,2966763.75,-141210211.83,532221235.86,963410063.43,9890852.93,1210181650.22,295181072.8,5110494.33,2674439.93,42933311.49,-750578.41,,,,,,,,,"2026-08-31",38.57,21736698193,162.3598,8.6651,8.7836,0.1294289897510983,-0.2702337449256593,0.1002597723857157,0.5475019305641304,0.11140017859795437,-0.23040877295550055,0.09817306591986807,0.4523855400932981,"2021-07-14/2026-08-31","PE=1005;PS=1245;PB=1245",1005,1245,1245,0.817910447761194,0.9124497991967871,0.9349397590361446,0.07789883911434914,0.20063284590020292,-5.662983077553343,-0.02083979663682589,0.64424106888058,-0.09873863575117503,0.5663422297662308,0.11897675595568642,0.010643000000000014,2.6728293656778406,0.43865699999999996,"unknown","partial","disclosed_theme_revenue;disclosed_theme_revenue_share;disclosed_theme_gross_margin;domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-03-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-03-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-03-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-03-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","本地同期间主营与地区分项无记录；本地无同期间主题收入分项；本地未单列美国或北美收入"
"002364","中恒电气","2026-06-30","2026-08-28T00:00:00+08:00",1262412460.25,0.21508400000000003,54987840.16,49948812.57,5039027.589999996,-268804459.33,1084996817.25,1290545061.17,13959276.86,1223629316.38,320176750.09,11569934.31,3990525.99,91502435.36,378239.2,"数据中心电源",807587070,0.6397172837157126,0.18246183374382158,1211867389.64,50545070.61,,,"2026-08-31",38.57,21736698193,162.3598,8.6651,8.7836,0.1294289897510983,-0.2702337449256593,0.1002597723857157,0.5475019305641304,0.11140017859795437,-0.23040877295550055,0.09817306591986807,0.4523855400932981,"2021-07-14/2026-08-31","PE=1005;PS=1245;PB=1245",1005,1245,1245,0.817910447761194,0.9124497991967871,0.9349397590361446,0.41669213394493076,0.11607657882548472,-4.888434580224473,0.2967346664609303,0.4683618752510621,-0.11995746748400049,0.051669741306131334,0.09163894372533574,-0.018439999999999956,1.077887646935395,0.479732,"theme","partial","us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-06-30/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-06-30/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-06-30/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-06-30/data.parquet;local_warehouse/facts/main_business/report_period=2026-06-30/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","数据中心电源为正式披露口径，但不自动等同AI数据中心；本地未单列美国或北美收入"
"300870","欧陆通","2025-12-31","2026-04-23T00:00:00+08:00",4462017401.19,0.198428,244002491.4,224673939.34,19328552.060000002,429336720.3,3916950129.22,1324172057.65,,528521382.18,8936491.43,313733646.08,128280432.9,299069258.17,19252920.5,"数据中心电源",2015471005.67,0.45169501246958005,0.23825939901842755,2593487319.06,1868530082.13,,,"2026-08-31",220,33581570000,283.6644,6.9233,12.9384,0.2846715328467153,-0.17732405953182262,0.10617982736918408,0.1983409284009603,0.2666427216935714,-0.13749908756166385,0.10409312090333644,0.10322453793012798,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.9927710843373494,0.9261044176706827,0.9429718875502008,0.17497786954666372,-0.12337143635851222,1.7595587562922728,-0.045901854578761614,0.13743625404735504,-0.22087972412542534,-0.03754161549930868,0.079214568462394,-0.015188000000000007,0.06674865239812933,0.5110220000000001,"theme","partial","contract_assets;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2025-12-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2025-12-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2025-12-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2025-12-31/data.parquet;local_warehouse/facts/main_business/report_period=2025-12-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","数据中心电源为正式披露口径，但不自动等同AI数据中心；本地未单列美国或北美收入"
"300870","欧陆通","2026-03-31","2026-04-28T00:00:00+08:00",1041547037.48,0.170132,-12541361.74,-15147645.47,2606283.7300000004,26808134.75,999774497.75,1312824802.91,,964647890.44,9046882.93,71897198.71,134420846.75,82023683.32,14350061.64,,,,,,,,,"2026-08-31",220,33581570000,283.6644,6.9233,12.9384,0.2846715328467153,-0.17732405953182262,0.10617982736918408,0.1983409284009603,0.2666427216935714,-0.13749908756166385,0.10409312090333644,0.10322453793012798,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.9927710843373494,0.9261044176706827,0.9429718875502008,0.17257398733267282,-1.328114716661866,-2.1375776654696828,0.10423003568427447,0.5028715155814567,-0.06834395164839835,0.3302975282487839,-0.20781505103129258,-0.020917999999999992,-0.13807014236848159,0.547709,"unknown","partial","contract_assets;disclosed_theme_revenue;disclosed_theme_revenue_share;disclosed_theme_gross_margin;domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-03-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-03-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-03-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-03-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","本地同期间主营与地区分项无记录；本地无同期间主题收入分项；本地未单列美国或北美收入"
"300870","欧陆通","2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,"2026-08-31",220,33581570000,283.6644,6.9233,12.9384,0.2846715328467153,-0.17732405953182262,0.10617982736918408,0.1983409284009603,0.2666427216935714,-0.13749908756166385,0.10409312090333644,0.10322453793012798,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.9927710843373494,0.9261044176706827,0.9429718875502008,,,,,,,,,,,,"unknown","no_record","revenue;gross_margin;parent_net_profit;adjusted_parent_net_profit;cfo;cash_received_from_sales;accounts_receivable;contract_assets;inventory;contract_liabilities;capex;construction_in_progress;rd_expense;finance_expense;disclosed_theme_revenue;disclosed_theme_revenue_share;disclosed_theme_gross_margin;domestic_revenue;overseas_revenue;us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2026-06-30/data.parquet;local_warehouse/facts/balance_sheet/report_period=2026-06-30/data.parquet;local_warehouse/facts/cash_flow/report_period=2026-06-30/data.parquet;local_warehouse/facts/financial_indicator/report_period=2026-06-30/data.parquet;local_warehouse/facts/main_business/report_period=2026-06-30/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","本地无同期间主题收入分项；本地未单列美国或北美收入"
"002922","伊戈尔","2025-12-31","2026-08-21T21:36:29.501924+08:00",5263733523.65,0.177817,200241927.11,183644656.2,16597270.910000026,640521701.37,5162104541.28,1715626375.77,246958293.36,957751003.61,53036590.24,1277026809.67,1242450403.52,239090369.21,49548229.37,"变压设备产品",3813505469.01,0.7244868023572788,0.1771906541818645,3354010652.07,1909722871.58,,,"2026-08-31",24.66,10420894314,50.2285,1.9014,2.7731,0.02921535893155247,-0.3427505330490406,-0.4865819067811885,0.21436779139935846,0.011186547778408551,-0.3029255610788818,-0.48866861324703614,0.11925140092852615,"2021-07-14/2026-08-31","PE=1245;PS=1245;PB=1245",1245,1245,1245,0.8546184738955823,0.5614457831325301,0.5614457831325301,0.13471402833187351,-0.2632299003106473,3.198739198200678,-0.04756769348124823,0.3057593814581414,-0.18228172181312174,0.1710453531262679,0.08288609258580774,-0.025712000000000013,-0.2695520768953146,0.5794279999999999,"wide","partial","us_revenue;north_america_revenue","local_warehouse/facts/income_statement/report_period=2025-12-31/data.parquet;local_warehouse/facts/balance_sheet/report_period=2025-12-31/data.parquet;local_warehouse/facts/cash_flow/report_period=2025-12-31/data.parquet;local_warehouse/facts/financial_indicator/report_period=2025-12-31/data.parquet;local_warehouse/facts/main_business/report_period=2025-12-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=2026-08-31/data.parquet;local_warehouse/facts/equity_daily/trade_date=2026-08-31/data.parquet;local_warehouse/facts/daily_basic/trade_date=*/data.parquet;local_warehouse/facts/equity_daily/trade_date=*/data.parquet;local_warehouse/facts/adj_factor/trade_date=*/data.parquet;local_warehouse/facts/index_daily/trade_date=*/data.parquet","变压设备产品为宽口径，不等同AI数据中心收入；本地未单列美国或北美收入"
