event_key,formation_date,action_date,selection_as_of,ts_code,name,trade_date,trading_day_number,is_action_date,data_status,open,high,low,close,pre_close,pct_chg_percent,volume_shares,amount_cny,adj_factor,entry_open_raw,entry_open_adjusted,open_return_since_entry,high_return_since_entry,low_return_since_entry,close_return_since_entry,max_close_return_so_far,max_high_return_so_far,mae_since_entry,close_drawdown_from_peak,available_at,availability_precision,quality_status,price_basis
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-20,1,True,available,19.32,20.7,18.84,20.1,19.08,5.3459,174598562.0,3496241963.04,9.9241,19.32,191.733612,0.0,0.0714285714285714,-0.024844720496894568,0.04037267080745344,0.04037267080745344,0.0714285714285714,-0.024844720496894568,0.0,2026-08-20T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-21,2,False,available,20.12,20.93,19.7,20.8,20.1,3.4826,116239125.0,2374865003.12,9.9241,19.32,191.733612,0.04140786749482395,0.08333333333333326,0.01966873706004124,0.07660455486542439,0.07660455486542439,0.08333333333333326,-0.024844720496894568,0.0,2026-08-21T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-24,3,False,available,20.59,20.95,18.73,19.02,20.8,-8.5577,154297622.0,3006417544.21,9.9241,19.32,191.733612,0.06573498964803304,0.08436853002070377,-0.030538302277432705,-0.015527950310559091,0.07660455486542439,0.08436853002070377,-0.030538302277432705,-0.0855769230769231,2026-08-24T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-25,4,False,available,19.29,19.38,18.0,18.34,19.02,-3.5752,119116771.0,2207488955.0899997,9.9241,19.32,191.733612,-0.0015527950310559868,0.0031055900621117516,-0.06832298136645976,-0.050724637681159424,0.07660455486542439,0.08436853002070377,-0.06832298136645976,-0.1182692307692308,2026-08-25T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-26,5,False,available,17.75,18.44,17.72,18.2,18.34,-0.7634,109873122.0,1981552458.56,9.9241,19.32,191.733612,-0.08126293995859213,-0.04554865424430632,-0.08281573498964812,-0.05797101449275366,0.07660455486542439,0.08436853002070377,-0.08281573498964812,-0.125,2026-08-26T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-27,6,False,available,18.18,19.55,17.93,19.2,18.2,5.4945,120804327.0,2269271510.28,9.9241,19.32,191.733612,-0.05900621118012428,0.011904761904761862,-0.07194616977225676,-0.006211180124223725,0.07660455486542439,0.08436853002070377,-0.08281573498964812,-0.07692307692307698,2026-08-27T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-28,7,False,available,19.2,19.74,18.88,19.49,19.2,1.5104,93911707.0,1821312529.62,9.9241,19.32,191.733612,-0.006211180124223725,0.021739130434782483,-0.022774327122153326,0.008799171842649889,0.07660455486542439,0.08436853002070377,-0.08281573498964812,-0.06298076923076934,2026-08-28T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:000703.SZ:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,000703.SZ,恒逸石化,2026-08-31,8,False,available,19.8,19.9,18.95,19.52,19.49,0.1539,132783032.0,2589127047.5,9.9241,19.32,191.733612,0.024844720496894457,0.030020703933747228,-0.019151138716356098,0.010351966873705987,0.07660455486542439,0.08436853002070377,-0.08281573498964812,-0.06153846153846154,2026-08-31T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-20,1,True,available,12.83,13.02,12.41,12.87,12.95,-0.6178,149272112.0,1905394843.0,1.1003,12.83,14.116849,0.0,0.014809041309431059,-0.03273577552611062,0.003117692907248726,0.003117692907248726,0.014809041309431059,-0.03273577552611062,0.0,2026-08-20T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-21,2,False,available,12.86,13.46,12.78,13.23,12.87,2.7972,106105775.0,1401406868.0,1.1003,12.83,14.116849,0.002338269680436378,0.049103663289166155,-0.0038971161340608518,0.03117692907248637,0.03117692907248637,0.049103663289166155,-0.03273577552611062,0.0,2026-08-21T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
formal:2026-08-19:601609.SH:selected,2026-08-19,2026-08-20,2026-08-20T09:05:00+08:00,601609.SH,金田股份,2026-08-24,3,False,available,13.1,13.49,13.01,13.38,13.23,1.1338,95827177.0,1271106722.0,1.1003,12.83,14.116849,0.02104442712392829,0.05144193296960253,0.014029618082618933,0.042868277474668925,0.042868277474668925,0.05144193296960253,-0.03273577552611062,0.0,2026-08-24T07:01:00+00:00,inferred_from_endpoint_policy,passed,raw_ohlc; cumulative_returns_use_ohlc_times_adj_factor
